SMILES,dataset,len_smiles,mean_complexity,sa_score,sc_score,tb_depth,tb_plausibility,tb_price,tb_synthesizability
NC(=O)N1c2ccccc2CC(=O)c2ccccc12,sheridan,31,1.8292682930000002,2.1583,2.6429,0,1.0,30.0,Synthesizable
c1(c2ccccc2)ccc(CNC(N(C)O)=O)cc1,sheridan,32,1.533333333,1.7843,2.9122,2,0.9918681305273012,24.0,Synthesizable
c1(c2c(nccc2)n(n1)CCO)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,sheridan,53,2.216216216,2.6024,3.6809,3,0.9877378665123092,46.0,Synthesizable
c1(S(NC[C@@H](c2ccc(OCC(O)=O)cc2)C)(=O)=O)ccc(Cl)cc1,sheridan,52,2.27027027,2.3809,3.6430000000000002,5,0.9087665566676144,8.0,Synthesizable
c12c(nc3c(c1)[nH]c([nH]3)=O)ccc(c2)NC(C)=O,sheridan,42,2.194444444,2.336,3.3802,5,0.9881897786661288,14.0,Synthesizable
c1(C([C@@H](NC(C)C)C)=O)sc(cc1)Cl,sheridan,33,1.571428571,2.9555,2.5218,2,0.8369388042031289,85.0,Synthesizable
c12C[C@@H]([C@@H](c2cccc1)C)[NH+]C1=NCCO1,sheridan,41,2.441860465,4.5022,3.2375,11,0.0,-1.0,Unsynthesizable
N12C(=C(c3cccnc3)S[C@@H]1[C@@H]([C@@H](C)O)C2=O)C(OCOC(C)=O)=O,sheridan,62,3.6486486489999996,3.7885,4.6127,11,0.0,-1.0,Unsynthesizable
c12c(c(ncc2)NC)c(n(c(n1CC)=O)CC)=O,sheridan,34,2.142857143,2.4958,3.8906,11,0.0,-1.0,Unsynthesizable
n12c(c(C(Nc3c4c(ccc3)cccc4)=O)cc2)CS[C@@H]1c1cccnc1,sheridan,51,2.301886792,2.8824,4.1581,11,0.0,-1.0,Unsynthesizable
N12[C@]3([C@@H](S[C@@H]1[C@@H](NC(Cc1ccccc1)=O)C2=O)CC(O3)=O)C(O)=O,sheridan,67,4.27027027,4.0375,3.3954,11,0.0,-1.0,Unsynthesizable
N12C(=C(C(C)=O)C[N@@]1C[C@@H](C2=O)NC(\C(c1nc(N)sc1)=N/OCC(O)=O)=O)C(O)=O,sheridan,73,3.3783783780000003,3.8327,4.8663,11,0.0,-1.0,Unsynthesizable
c1(C(Nc2nc(CN=C=S)cs2)=O)ccccc1,sheridan,31,1.888888889,2.4013,3.0529,5,0.9465127400890238,21.0,Synthesizable
c1(c(nc(OC)nc1C)OC)\C=C\C(N[C@@H](CCSC)C(OC)=O)=O,sheridan,49,2.702702703,3.2365,2.9645,3,0.3104156111139229,30.0,Synthesizable
c1(C(OOC(CCCCC=C)=O)=O)ccccc1,sheridan,29,1.43902439,2.1946,2.0988,3,0.8652965208917875,6.0,Synthesizable
c12c(OC(O1)(C)C)ccc(c2)CCC,sheridan,26,1.135135135,2.1686,2.5253,2,0.9717086376600363,4.0,Synthesizable
C1(C=CN(C=C1)CCN(C)C)(C)C,sheridan,25,1.297297297,3.46,2.1248,4,0.014643405071696687,4.0,Synthesizable
N1(C(Nc2ccccc2)=O)C=CC(C=C1)(C)C,sheridan,32,1.513513514,2.8961,2.1941,7,0.048602495473071834,59.0,Synthesizable
c12c(Cc3c[nH]cn3)cccc1COC(O2)(C)C,sheridan,33,1.609756098,3.0597,3.4064,4,0.9349773485712096,24.0,Synthesizable
c12ccccc2CC2C[C@H]1C=C[C@@H]2N,sheridan,30,3.1136363639999995,4.4881,2.9669,11,0.0,-1.0,Unsynthesizable
C(\n1ccnc1)(C(c1ccc(Cl)cc1)=O)=C/c1c(cc(Cl)cc1)Cl,sheridan,49,2.285714286,2.4667,2.6244,2,0.997187607786728,3.0,Synthesizable
c12c(cc(C#Cc3ccc(C(OCC)=O)cn3)cc1)C(CCS2)(C)C,sheridan,45,2.26984127,2.7399,3.8485,1,1.0,128.0,Synthesizable
C1([C@@H]([C@@](C[C@@H](C1)O)(C)O)CCCCC[C@@H](C=C)O)(C)C,sheridan,56,2.648648649,4.31,3.0498,11,0.0,-1.0,Unsynthesizable
c12c(CCN(C1=O)O)cccc2,sheridan,21,1.156862745,2.1777,2.3371,2,0.9861674183174216,13.0,Synthesizable
C12[C@@]34[C@H]([C@H]([C@@H]5CC[N@@](C[C@]15CCC=CCCCCN2)CCCCC=CCC4)c1c2c(c4ccccc4[nH]2)ccn1)O3,sheridan,94,4.979166667,6.9621,4.999,11,0.0,-1.0,Unsynthesizable
c12c(c(c(C#N)c(n1cccc2)=O)SC)C(NC1CCCCC1)=O,sheridan,43,2.591836735,2.6116,3.7207,11,0.0,-1.0,Unsynthesizable
c1(n(c(C(NC(C)=O)=O)nn1)C)Cc1c(cccc1F)F,sheridan,39,2.131578947,2.7043,4.0174,7,0.34112678776273103,53.0,Synthesizable
n1(c2c(cccn2)nc1NN1CCN(C)CC1)Cc1oc(C)cc1,sheridan,40,2.454545455,2.7361,4.2724,5,0.9258911312620859,108.0,Synthesizable
c12c([nH]c(c2)C#N)cccc1OC[C@@H](CN1CCN(Cc2ccc(c3ccc(OC(F)F)cc3)cc2)CC1)O,sheridan,72,2.875,3.1071,4.6826,8,0.8126049398060327,84.0,Synthesizable
c12c(cc3c(c1)CCO3)C[C@@H]([C@@H](C2)C)N,sheridan,39,2.055555556,3.5331,3.6879,11,0.0,-1.0,Unsynthesizable
c1(c(cccc1)C(OCC)=O)Cc1ccc(C[C@@H](NC[C@@H](c2cc(ccc2)Cl)O)C)cc1,sheridan,64,2.363636364,2.8715,3.4591,4,0.5275276914172528,14.0,Synthesizable
c12c(nc(s1)C(C)(C)C)cc(OC)c(c2)N=C=S,sheridan,36,2.305555556,2.9558,3.4166,4,0.7946199749964847,82.0,Synthesizable
c1(c(c(C)n(c1C)c1ccccc1)CC[C@@H](C[C@@H](CC(=O)O)O)O)c1ccc(F)cc1,sheridan,64,2.714285714,3.2111,4.7669999999999995,9,0.4851878571471502,47.0,Synthesizable
c12c(Nc3ccccc3)ncnc1n(C)cn2,sheridan,27,1.7450980390000002,2.0735,3.1228,2,0.9522404126411672,4.0,Synthesizable
c12c(ncn(c1=O)CC(C[C@H]1[C@@H](CCCN1)O)=O)ccc(c2)SC,sheridan,51,2.615384615,3.4736,4.7186,11,0.0,-1.0,Unsynthesizable
c12c(c3c(nc1ccc(c2)OC)CCCC3)NO,sheridan,30,2.022222222,2.3435,3.0246,11,0.0,-1.0,Unsynthesizable
C1[C@@]2([C@@H](C[C@H](C)[C@H](O2)\C(=C\C)C)OC(C)=O)O[C@@H]2CC=C(C[C@H](C=CC=C3[C@]4([C@H](C(O[C@@H]1C2)=O)C=C(C)[C@H]([C@H]4OC3)OC)O)C)C,sheridan,137,4.864864865,7.4143,4.1145,11,0.0,-1.0,Unsynthesizable
c1(cc(c(N)c(c1)Cl)Cl)[C@@H](CNCCCCCCOCCCCc1ncccn1)O,sheridan,51,2.394736842,3.0765,4.2901,9,0.4097701838767861,124.0,Synthesizable
c1(ccccc1OCc1ccccc1)[C@@H]1C(=C(NC(=C1[N+]([O-])=O)C)C)C(OCCCNc1ccc(C=2CCC(=O)NN2)cc1)=O,sheridan,88,3.052631579,3.4026,4.1641,11,0.0,-1.0,Unsynthesizable
